id,created_at,updated_at,courses
13,8/5/12 2:57,8/9/12 14:57, f12_9448 f12_9982 f12_1627
31,8/10/12 15:23,8/10/12 15:24,f12_8829 f12_6865
72,8/24/12 16:04,8/24/12 16:11,f12_9792 f12_9787 f12_10103 f12_7690 f12_1075 f12_8425
82,8/27/12 15:09,8/27/12 15:09,f12_10071 f12_9813
85,8/27/12 15:51,8/27/12 15:55,f12_9291 f12_8999
92,8/27/12 18:37,8/27/12 18:37,f12_8313
93,8/27/12 18:37,8/27/12 18:37,f12_4382
97,8/27/12 18:37,8/27/12 18:37,f12_4382
110,8/28/12 16:16,8/28/12 16:16,f12_10062 f12_7939
112,8/28/12 20:49,8/28/12 20:50,f12_7939 f12_10059 f12_7509
117,8/29/12 13:57,8/29/12 14:18,f12_9800 f12_6865 f12_9385 f12_8425 f12_1538 f12_10070 f12_9709 f12_7221 f12_9842
123,8/29/12 18:13,8/29/12 18:13,f12_9973
141,8/30/12 15:57,8/30/12 16:37,f12_4660 f12_10092 f12_9285 f12_10093 f12_1040 f12_9812 f12_8954 f12_4382 f12_2233 f12_9792 f12_10190 f12_9787 f12_6757 f12_8969 f12_10081 f12_4194 f12_9973 f12_9390 f12_10088 f12_1051 f12_8617 f12_10101 f12_8574 f12_9781 f12_10029 f12_7690 f12_10030 f12_
149,8/30/12 17:00,8/30/12 17:08,f12_9503
167,8/30/12 17:55,8/30/12 17:56,f12_1002
152,8/30/12 17:09,8/30/12 18:04,f12_8120 f12_9516 f12_1326 f12_9943 f12_1716
174,8/30/12 18:21,8/30/12 18:24,f12_6394 f12_10011 f12_8509 f12_8626 f12_9377 f12_6426 f12_1080 f12_4193
146,8/30/12 16:49,8/30/12 19:28,f12_10001
204,8/30/12 19:49,8/30/12 19:51,f12_1050 f12_1341 f12_5829 f12_1430 f12_1433
194,8/30/12 19:15,8/30/12 20:02,f12_1431 f12_10012 f12_8617 f12_8969 f12_9842 f12_9495 f12_9390
176,8/30/12 18:24,8/30/12 20:55,f12_1518 f12_9842 f12_9309 f12_9316 f12_1368 f12_3777
151,8/30/12 17:06,8/30/12 22:58,f12_5835 f12_10090 f12_9308 f12_1107 f12_10100
196,8/30/12 19:27,8/31/12 11:50,f12_1033 f12_6865 f12_6866 f12_10017
247,8/31/12 3:04,8/31/12 13:08,f12_9316 f12_8602 f12_9858 f12_3777 f12_10064
257,8/31/12 13:06,8/31/12 13:15,f12_10064
243,8/31/12 1:28,8/31/12 13:22,f12_9250 f12_1435 f12_1344 f12_1316 f12_10013 f12_9976 f12_8360 f12_7794 f12_7795 f12_7796 f12_7798 f12_7799 f12_7800 f12_1080 f12_4193 f12_7887 f12_9284
261,8/31/12 13:30,8/31/12 13:56,f12_5893 f12_5895 f12_1975 f12_1778 f12_2797 f12_10034
144,8/30/12 16:40,8/31/12 14:56,f12_9024 f12_9934 f12_7449 f12_3777 f12_9878 f12_4257
236,8/30/12 21:59,8/31/12 15:51,f12_1352 f12_10018 f12_9892 f12_9895 f12_4193
275,8/31/12 16:04,8/31/12 16:07,f12_8590
282,8/31/12 18:05,8/31/12 18:21,f12_8999 f12_9879 f12_10199 f12_9792 f12_6320 f12_9863
286,8/31/12 19:37,8/31/12 19:37,f12_9473
291,8/31/12 23:42,8/31/12 23:50,f12_1052 f12_9002 f12_9858 f12_9866 f12_9266 f12_8928 f12_9954 f12_7938 f12_9981 f12_9982 f12_10107 f12_9945 f12_9864 f12_9806
307,9/2/12 1:11,9/2/12 1:11,f12_1716
313,9/2/12 16:26,9/2/12 16:38,f12_9399 f12_8584 f12_9448 f12_4099
49,8/18/12 1:08,9/3/12 18:18,f12_7873 f12_7887 f12_8927 f12_9954 f12_9981 f12_9340
364,9/4/12 1:09,9/4/12 1:35,f12_9791 f12_7277 f12_9792 f12_5245 f12_9799 f12_9973 f12_9390 f12_10101 f12_9923 f12_9495 f12_9446 f12_9447 f12_9448 f12_9449 f12_9941 f12_9942 f12_9945 f12_9946 f12_9951 f12_9952 f12_10062 f12_9789 f12_10022 f12_9814 f12_7007 f12_9982
370,9/4/12 1:50,9/4/12 1:51,f12_10099 f12_10100
367,9/4/12 1:38,9/4/12 1:54,f12_10106 f12_9842 f12_9361 f12_5447
369,9/4/12 1:39,9/4/12 2:29,f12_7794 f12_7798 f12_8360 f12_9429 f12_9390
16,8/5/12 19:59,9/4/12 3:20,s10_14935 f12_10050
77,8/27/12 4:47,9/4/12 4:11,f12_9864 f12_9866 f12_8954 f12_9918 f12_9815 f12_8425 f12_10099
392,9/4/12 4:12,9/4/12 4:19,f12_6525 f12_1288
409,9/4/12 12:25,9/4/12 12:26,f12_1468 f12_4804 f12_1343 f12_8540 f12_6394
108,8/28/12 15:14,9/4/12 18:09,f12_9920
437,9/4/12 18:42,9/4/12 18:42,f12_9891
440,9/4/12 18:53,9/4/12 18:53,f12_9917
451,9/4/12 20:35,9/4/12 20:35,f12_1518
453,9/4/12 21:08,9/4/12 21:10,f12_9974 f12_9374 f12_7872 f12_7874
379,9/4/12 3:03,9/4/12 23:34,f12_1983
462,9/5/12 0:25,9/5/12 0:32,f12_9879
477,9/5/12 3:30,9/5/12 3:32,f12_2684 f12_9868 f12_1022 f12_8274 f12_7369
383,9/4/12 3:33,9/5/12 3:58,f12_5945 f12_5946 f12_10060 f12_7449 f12_9850
480,9/5/12 4:16,9/5/12 4:20,f12_1052 f12_9316
489,9/5/12 11:44,9/5/12 11:46,f12_9812 f12_9002
466,9/5/12 1:20,9/5/12 12:44,f12_6520 f12_9923
492,9/5/12 13:38,9/5/12 13:39,f12_9984
500,9/5/12 16:52,9/5/12 16:52,f12_9831 f12_8634
501,9/5/12 16:57,9/5/12 16:57,f12_10106
503,9/5/12 16:58,9/5/12 16:58,f12_10106
470,9/5/12 2:11,9/5/12 17:17,f12_9898
266,8/31/12 14:03,9/6/12 4:34,f12_1050 f12_9842
526,9/6/12 13:19,9/6/12 13:19,f12_6769
528,9/6/12 13:37,9/6/12 13:50,f12_9946 f12_8631 f12_5447 f12_9352 f12_1179 f12_9943
543,9/6/12 21:51,9/6/12 21:54,f12_4382
552,9/7/12 20:48,9/7/12 21:19,f12_9842 f12_10093 f12_9538 f12_10009 f12_8428 f12_1518 f12_10062
555,9/7/12 23:50,9/7/12 23:50,f12_1075 f12_9367
338,9/3/12 17:59,9/8/12 15:41,f12_1023 f12_8921
558,9/8/12 18:38,9/8/12 18:39,f12_1353 f12_8423 f12_4685 f12_1448
561,9/8/12 23:49,9/8/12 23:49,f12_9878
576,9/10/12 11:45,9/10/12 11:45,f12_9309
579,9/11/12 1:36,9/11/12 1:40,f12_10000 f12_1344 f12_7794 f12_7800 f12_8325 f12_7449
580,9/11/12 1:45,9/11/12 1:47,f12_7449 f12_1344 f12_8325 f12_7794 f12_10000
575,9/10/12 2:59,9/13/12 19:36,f12_5893 f12_7348 f12_1355 f12_6995
