id,created_at,updated_at,courses
11042,4/13/13 4:36,4/13/13 4:42,f13_9070 f13_8117 f13_1675 f13_11574
11040,4/13/13 3:59,4/13/13 5:13,f13_1354 f13_1355 f13_5893 f13_5895 f13_7348 f13_10251 f13_1059 f13_1027
7624,4/5/13 3:43,4/13/13 6:14,f13_11317 f13_11318 f13_7873 f13_11463
11049,4/13/13 15:15,4/13/13 15:21,f13_9963 f13_11572 f13_8981 f13_11322 f13_11562 f13_1049 f13_11412 f13_11413 f13_5218 f13_11040 f13_9973
7508,4/4/13 1:03,4/13/13 17:37,f13_9062 f13_8573 f13_1780 f13_11464 f13_1799 f13_11470 f13_1515
7406,4/2/13 21:25,4/13/13 19:47,f13_9897 f13_11279 f13_10223 f13_7881
734,10/28/12 3:38,4/14/13 1:27, f13_11118 f13_10622 f13_9891 f13_11239 f13_11218
7521,4/4/13 2:50,4/14/13 4:55,f13_11447 f13_11273 f13_1356 f13_11268 f13_1059
7315,4/2/13 1:33,4/14/13 18:53,f13_10250 f13_11199 f13_11202 f13_11290 f13_1518
11123,4/14/13 19:42,4/14/13 19:53,f13_4660 f13_11463 f13_11203 f13_11316 f13_9877 f13_9879 f13_11570 f13_1464 f13_1466
11148,4/15/13 0:40,4/15/13 0:44,f13_4685 f13_9897 f13_11431 f13_1355 f13_1107
11157,4/15/13 2:12,4/15/13 2:14,f13_11244 f13_11246 f13_1458 f13_9853
10964,4/12/13 11:33,4/15/13 2:55,f13_7336 f13_11271 f13_9842
8116,4/10/13 13:52,4/15/13 3:05,f13_9877 f13_11570 f13_11461 f13_11239 f13_11412 f13_11241
172,8/30/12 18:05,4/15/13 3:23,f13_11206 f13_11172 f13_8308
6685,3/15/13 3:39,4/15/13 4:02,f13_1107 f13_11293 f13_9861 f13_11299 f13_11300 f13_9862 f13_11533 f13_10106 f13_11302 f13_11194 f13_9288 f13_11204 f13_8617 f13_5832 f13_5245 f13_10224 f13_10252 f13_10256 f13_11236
11172,4/15/13 4:03,4/15/13 4:31,f13_10225 f13_10224 f13_11533 f13_1780 f13_1028 f13_7029 f13_11328 f13_7295
11168,4/15/13 3:47,4/15/13 6:03,f13_10109 f13_1416 f13_1819 f13_2241 f13_5946 f13_4257 f13_5435 f13_8631 f13_1366
11164,4/15/13 3:05,4/15/13 13:09,f13_9448 f13_7476 f13_2240 f13_1316 f13_6542 f13_1366
11138,4/14/13 23:11,4/15/13 13:20,f13_10448 f13_11315 f13_9850 f13_11568 f13_4356
11183,4/15/13 10:26,4/15/13 13:34,f13_11294 f13_11300 f13_9288 f13_11152 f13_7938 f13_10092 f13_9810 f13_11052 f13_8617 f13_11314 f13_11315 f13_4099
11208,4/15/13 14:40,4/15/13 15:07,f13_11287 f13_9114 f13_1036 f13_11206 f13_10092 f13_11218
11205,4/15/13 14:23,4/15/13 15:48,f13_1027 f13_7191 f13_11255 f13_11332 f13_11259
11224,4/15/13 16:21,4/15/13 16:30,f13_6848 f13_8050 f13_11232 f13_8954
11229,4/15/13 16:47,4/15/13 16:48,f13_11052 f13_2243 f13_4356 f13_1362
11234,4/15/13 17:08,4/15/13 17:45,f13_1680 f13_1779 f13_11300 f13_6011 f13_6009 f13_11467 f13_11303
1056,11/4/12 22:48,4/15/13 18:47,f13_8631
11257,4/15/13 19:16,4/15/13 19:40,f13_11569 f13_10340 f13_6846 f13_1468 f13_4804 f13_1343 f13_8954 f13_11332 f13_11239 f13_11248
11268,4/15/13 19:48,4/15/13 19:54,f13_11569 f13_11316 f13_11333 f13_4660
11162,4/15/13 2:51,4/15/13 19:56,f13_11427 f13_11290 f13_11171 f13_1351 f13_7887 f13_7873
11264,4/15/13 19:43,4/15/13 19:57,f13_5435 f13_11203 f13_1048 f13_11568
11272,4/15/13 20:11,4/15/13 21:53,f13_1007 f13_7277 f13_1352 f13_5831
7109,3/29/13 12:45,4/15/13 22:47,f13_1441 f13_6849 f13_11115
11332,4/16/13 1:46,4/16/13 2:03,f13_9926 f13_11414 f13_11415 f13_11247
11352,4/16/13 3:21,4/16/13 3:22,f13_1468 f13_4804 f13_6848 f13_9981
2244,2/4/13 3:26,4/16/13 3:59,f13_11172 f13_9937 f13_2627
11364,4/16/13 3:58,4/16/13 4:15,f13_9861 f13_10891
11328,4/16/13 1:31,4/16/13 6:03,f13_6519 f13_9354
7353,4/2/13 15:30,4/16/13 7:36,f13_8050 f13_4356 f13_5235 f13_11108 f13_11333 f13_10252 f13_10028 f13_1316 f13_1341 f13_11328 f13_6519 f13_6520 f13_11411 f13_11409
8155,4/10/13 19:09,4/16/13 12:59,f13_11280 f13_11281
11215,4/15/13 15:04,4/16/13 14:00,f13_9897 f13_11280 f13_5435 f13_11056 f13_9963
11424,4/16/13 15:30,4/16/13 15:40,f13_7448 f13_1119 f13_11237 f13_9891 f13_9353
