id,created_at,updated_at,courses
32998,11/15/13 19:45,10/26/16 16:25,s17_18694 s17_18695 s17_17303 s17_7157 s17_8605
16519,7/30/13 5:32,10/26/16 16:58,s16_18229 s16_18235 s16_18236 s16_12973 s16_18301 f16_1464 f16_12966 f16_12495 f16_12455 f16_1466 s17_7351 s17_18054 s17_18917 s17_18918 s17_7353
179161,10/26/16 17:24,10/26/16 17:27,s17_18573 s17_7180 s17_18803
165765,8/24/16 16:15,10/26/16 18:24,s17_15186 s17_18800 s17_18867 s17_18568 s17_18567
167787,8/28/16 18:57,10/26/16 18:56,s17_17325 s17_18601 s17_18560 s17_18565 s17_18793 s17_18119
178960,10/25/16 14:39,10/26/16 19:47,s17_16038 s17_18058
178400,10/20/16 23:05,10/26/16 19:50,s17_18800 s17_18307 s17_16028 s17_18276
166975,8/26/16 2:15,10/26/16 20:05,s17_15304 s17_17265 s17_7382 s17_18531
169812,9/2/16 14:43,10/26/16 20:44,s17_7161 s17_17993 s17_18707 s17_18637
179217,10/26/16 21:21,10/26/16 21:23,s17_18211 s17_12609 s17_12607
167963,8/29/16 0:37,10/26/16 23:32,s17_18697 s17_7142 s17_18896 s17_18878 s17_16163 s17_18577 s17_18705 s17_18139 s17_18704 s17_13315 s17_16149
179231,10/26/16 23:38,10/26/16 23:54,s17_18758 s17_17878 s17_18742 s17_18751 s17_18953 s17_18642
166769,8/25/16 21:22,10/27/16 0:10,s17_18679 s17_18301 s17_18681 s17_16824 s17_18022 s17_18787 s17_18399 s17_18638
179236,10/27/16 0:11,10/27/16 0:31,s17_18553 s17_12968 s17_12400 s17_18720 s17_7146 s17_18618
178757,10/24/16 15:16,10/27/16 0:51,s17_17794 s17_18822 s17_17684 s17_18678 s17_18543 s17_17817 s17_18919 s17_17835 s17_18614 s17_17726
166767,8/25/16 21:21,10/27/16 13:24,s17_18870 s17_18169 s17_18750 s17_7143 s17_18563 s17_18560 s17_7139
166011,8/25/16 14:55,10/27/16 13:45,s17_18544 s17_18621 s17_16578 s17_16675
179311,10/27/16 15:41,10/27/16 15:54,s17_18169 s17_17219 s17_15517 s17_18569 s17_18547 s17_16054 s17_16055 s17_18571 s17_18678 s17_14763
179014,10/25/16 19:07,10/27/16 17:12,s17_7229 s17_14726 s17_14675 s17_17262
26444,9/23/13 22:28,10/27/16 18:31,s17_18166 s17_7483 s17_17154 s17_18694 s17_18695
