id,created_at,updated_at,courses
43607,3/29/14 1:57,3/29/14 1:59,f14_9352 f14_6519
43618,3/29/14 16:25,3/29/14 16:46, f14_9354
43632,3/30/14 2:55,3/30/14 3:05,f14_11822 f14_11849 f14_1035 f14_11720
43598,3/28/14 19:06,3/30/14 12:31,f14_11907 f14_9285 f14_11860 f14_1050 f14_1051
43680,3/30/14 23:53,3/30/14 23:54,f14_11474
12,8/5/12 0:16,3/31/14 1:50,s14_15412 s14_17218 s14_15963 s14_17498 s14_10637 s14_7895 s14_7884 s14_17268 f14_11992
42855,3/4/14 22:33,3/31/14 2:08,f14_11638 f14_11986 f14_11423 f14_11860
43763,3/31/14 14:55,3/31/14 14:55,f14_1355
42521,2/25/14 18:43,3/31/14 15:01,f14_4685 f14_11920 f14_9897 f14_11922 f14_11986 f14_11816 f14_9963 f14_11849
873,10/31/12 1:21,3/31/14 15:33, f14_11886 f14_10028 f14_7244 f14_10543
43690,3/31/14 0:48,3/31/14 16:52,f14_9891 f14_3681 f14_7244 f14_12008
43783,3/31/14 16:49,3/31/14 17:00,f14_11108 f14_11123 f14_6843 f14_7881 f14_11061
43797,3/31/14 17:09,3/31/14 17:24,f14_6849 f14_9448 f14_11289 f14_11162 f14_9832
43810,3/31/14 17:28,3/31/14 17:32,f14_6519 f14_11805
43814,3/31/14 17:35,3/31/14 17:56,f14_12007 f14_11175 f14_9982 f14_11108
43823,3/31/14 18:03,3/31/14 18:37,f14_10545 f14_11958 f14_11997 f14_12000 f14_11856 f14_11297 f14_11860 f14_11869 f14_9285 f14_11939 f14_11999 f14_11994 f14_11996 f14_12014 f14_9981 f14_11290 f14_2581 f14_11825 f14_11182 f14_5234 f14_11183 f14_9891 f14_9448 f14_5948 f14_12006 f14_11819
43838,3/31/14 18:51,3/31/14 19:13,f14_11995 f14_9288 f14_11994 f14_1058 f14_10251 f14_10038 f14_9963 f14_9981 f14_11290 f14_10092 f14_11986
43856,3/31/14 19:58,3/31/14 20:01,f14_6846 f14_8949 f14_11807
38481,1/26/14 2:43,3/31/14 21:25,f14_4685 f14_9897 f14_10250
43873,3/31/14 21:02,3/31/14 21:34,f14_9963 f14_9978 f14_1416 f14_9842 f14_8362 f14_11986
43880,3/31/14 21:12,3/31/14 21:44, f14_11290 f14_11849
43886,3/31/14 21:26,3/31/14 22:12,f14_11638 f14_8975 f14_11860
17930,8/25/13 5:59,3/31/14 23:19,f14_10257 f14_11876 f14_11878 f14_11871 f14_11366 f14_1028
43759,3/31/14 14:29,3/31/14 23:23, f14_12008 f14_12091 f14_8429 f14_10109
43695,3/31/14 1:17,4/1/14 0:31,f14_8936 f14_12031 f14_7938 f14_8122
43916,4/1/14 0:54,4/1/14 1:07,f14_6847 f14_6849 f14_11118
39075,2/2/14 5:32,4/1/14 1:27,f14_1441 f14_5893 f14_5895 f14_1045 f14_11963
1369,11/11/12 14:45,4/1/14 2:17,f14_9897 f14_1059 f14_1027 f14_1354
43930,4/1/14 2:15,4/1/14 2:21,f14_11932 f14_8573 f14_12030 f14_12025 f14_10225
43933,4/1/14 2:21,4/1/14 3:27,f14_1468 f14_4804 f14_5218 f14_7785
43776,3/31/14 16:33,4/1/14 4:07,f14_11957 f14_12024 f14_9288 f14_11997 f14_7823 f14_11427 f14_11939
43958,4/1/14 4:27,4/1/14 5:12,f14_1058 f14_10251 f14_1049 f14_7282 f14_11297 f14_1280 f14_12087
43966,4/1/14 10:10,4/1/14 10:15,f14_6848 f14_6849 f14_1045 f14_1046 f14_8325 f14_1343 f14_1344 f14_1468 f14_4803 f14_4804 f14_4805 f14_9985 f14_7393 f14_11901
43971,4/1/14 12:17,4/1/14 12:47,f14_11902 f14_11903 f14_6519 f14_9354 f14_11802
43998,4/1/14 14:47,4/1/14 14:49,f14_11947 f14_8050 f14_11108 f14_12082 f14_1351
44007,4/1/14 15:30,4/1/14 15:33,f14_9288 f14_6519 f14_11805 f14_11253 f14_11934 f14_6817 f14_2581 f14_11825
42968,3/8/14 18:09,4/1/14 17:01,f14_11804 f14_6520 f14_11805 f14_8313
19930,9/2/13 16:50,4/1/14 17:12,f14_11849 f14_10223 f14_7938
43852,3/31/14 19:45,4/1/14 17:20,f14_11934 f14_8992 f14_7244 f14_10543 f14_5435 f14_11427 f14_12089 f14_1051 f14_1052 f14_9002 f14_7872 f14_7873 f14_7874 f14_11997 f14_1518 f14_11986 f14_9981 f14_11290 f14_10545
7959,4/9/13 3:28,4/1/14 17:48,f14_11994 f14_10225 f14_1050 f14_1051 f14_1321 f14_11211
44053,4/1/14 18:43,4/1/14 18:46,f14_1441 f14_5893 f14_1355
44065,4/1/14 19:43,4/1/14 20:04,f14_11301 f14_11878 f14_11874 f14_11994
44066,4/1/14 19:55,4/1/14 20:10,f14_11995 f14_11992 f14_11849 f14_8617
44069,4/1/14 20:10,4/1/14 20:44,f14_7794 f14_11105 f14_6846 f14_8949
39543,2/3/14 14:59,4/1/14 20:52,f14_4685 f14_11922 f14_10109 f14_1780 f14_11429 f14_12091 f14_12027 f14_1049 f14_8120 f14_8121 f14_10039
43992,4/1/14 14:32,4/1/14 20:57,f14_6519 f14_6520 f14_11607 f14_11997 f14_8425
1585,1/3/13 0:17,4/1/14 22:53,f14_11922 f14_11923 f14_1356 f14_9963 f14_1033 f14_11948 f14_11963
30367,11/6/13 21:32,4/1/14 23:45,f14_11820 f14_9856 f14_11958 f14_8936 f14_11860 f14_11427 f14_1036 f14_11573 f14_9288 f14_11940 f14_11966 f14_9978 f14_11986
44165,4/2/14 0:22,4/2/14 0:28,f14_11274 f14_11856 f14_1517
44170,4/2/14 0:33,4/2/14 0:47,f14_11947 f14_11175 f14_11176 f14_7872 f14_7873 f14_7874 f14_11959 f14_11960 f14_11060 f14_2233 f14_1778 f14_1779 f14_12033 f14_12089 f14_9285
44162,4/2/14 0:18,4/2/14 1:00,f14_11268 f14_11274 f14_11920
44190,4/2/14 1:46,4/2/14 2:02,f14_6519 f14_11805 f14_11957 f14_11958
44030,4/1/14 17:04,4/2/14 2:02,f14_8954 f14_11918 f14_11919 f14_1028
43720,3/31/14 3:45,4/2/14 6:06,f14_12013 f14_12014 f14_12015 f14_8557 f14_11808 f14_11816 f14_11812 f14_11427 f14_9288 f14_9808 f14_12000 f14_11823
44245,4/2/14 6:34,4/2/14 6:46,f14_11989 f14_11990 f14_12087 f14_11878
128,8/29/12 18:30,4/2/14 13:08,f14_11935 f14_1416 f14_5946 f14_11858 f14_11932
44289,4/2/14 15:45,4/2/14 15:49,f14_11848 f14_6848 f14_11922 f14_10087
44294,4/2/14 15:50,4/2/14 16:13,f14_9285 f14_5435 f14_11947 f14_11315 f14_7872 f14_11855 f14_11820 f14_11606
44319,4/2/14 17:11,4/2/14 17:19,f14_11947 f14_7872 f14_7873 f14_7874 f14_5218
44331,4/2/14 18:03,4/2/14 18:08,f14_11638 f14_9978
44343,4/2/14 18:37,4/2/14 18:49,f14_6846 f14_6847 f14_1468 f14_4803 f14_4804 f14_4805 f14_9985 f14_6519 f14_11804 f14_5435 f14_10092 f14_11995
44351,4/2/14 18:54,4/2/14 19:13,f14_6846 f14_6847 f14_6519 f14_11804 f14_5435 f14_9285 f14_4804 f14_4805 f14_9985 f14_10543 f14_11108 f14_1627 f14_12092 f14_4193 f14_12011 f14_7938 f14_11986
44366,4/2/14 19:50,4/2/14 20:01,f14_1681 f14_2430 f14_10049 f14_9770 f14_6542 f14_8573 f14_12027 f14_4660 f14_11060
44000,4/1/14 15:03,4/2/14 20:09,f14_11850 f14_1802 f14_1803 f14_8039 f14_3636 f14_5948 f14_6605 f14_10097 f14_1346 f14_1366 f14_1220 f14_10055 f14_2938 f14_9504 f14_11181 f14_11188 f14_1782 f14_11876 f14_11874
1045,11/4/12 21:14,4/2/14 20:14,f14_11953 f14_11965 f14_11870
43826,3/31/14 18:15,4/2/14 22:07,f14_12087 f14_1517 f14_11303 f14_11293 f14_6519 f14_6520 f14_9354 f14_8425 f14_10021 f14_11301 f14_9854 f14_8954
44370,4/2/14 20:07,4/2/14 22:22,f14_6847 f14_6848 f14_11118 f14_8313
44399,4/2/14 22:04,4/2/14 22:28,f14_11811 f14_5218 f14_7785 f14_11039 f14_7839 f14_1068 f14_11316 f14_9877 f14_9879 f14_11325 f14_11966 f14_11984 f14_11233 f14_11987
44408,4/2/14 22:43,4/2/14 22:51,f14_11720 f14_11822 f14_1035 f14_11849 f14_12092
12469,4/21/13 21:00,4/2/14 23:20,f14_8425 f14_6519 f14_11804 f14_11853
44158,4/2/14 0:12,4/2/14 23:21,f14_11861 f14_1026 f14_11956 f14_11995 f14_9288 f14_11803 f14_12008 f14_11839 f14_11182 f14_7687 f14_11638 f14_11338 f14_11859
44413,4/2/14 23:07,4/2/14 23:27,f14_12010 f14_12013 f14_11839 f14_12015 f14_11223 f14_12087 f14_11869 f14_11877 f14_11425 f14_8617 f14_11957 f14_11811 f14_11943 f14_11986 f14_11427
44420,4/2/14 23:52,4/2/14 23:53,f14_10021
44394,4/2/14 21:41,4/3/14 0:12,f14_6926 f14_1058 f14_11040 f14_11809
44433,4/3/14 0:24,4/3/14 0:41,f14_1354 f14_6849 f14_11115
36832,12/10/13 2:53,4/3/14 1:01,f14_11324 f14_11327 f14_11964 f14_8999 f14_1627 f14_11113 f14_11841 f14_11848 f14_9995 f14_11332 f14_1364 f14_1007
44318,4/2/14 17:06,4/3/14 2:00,f14_11841 f14_11840 f14_11844 f14_10223 f14_10251 f14_1068 f14_11992 f14_1344 f14_11926 f14_11986 f14_11987 f14_1179 f14_4099
44265,4/2/14 14:06,4/3/14 2:31,f14_7872 f14_11290 f14_11471 f14_1156 f14_1678 f14_2390
44456,4/3/14 2:32,4/3/14 2:34,f14_4382 f14_11956 f14_11996 f14_1779
44452,4/3/14 2:12,4/3/14 4:02,f14_11947
44473,4/3/14 4:02,4/3/14 4:04,f14_6793 f14_3681 f14_11422 f14_11423 f14_11898 f14_12029 f14_12007 f14_5435 f14_1002
44497,4/3/14 13:59,4/3/14 14:07,f14_9842 f14_1468 f14_4803 f14_6843 f14_11272
44501,4/3/14 14:23,4/3/14 14:26,f14_11840 f14_11902 f14_1464 f14_1467 f14_6519
44229,4/2/14 4:16,4/3/14 14:36,f14_8954 f14_1433 f14_1432
44507,4/3/14 15:03,4/3/14 15:12,f14_9978 f14_11869 f14_12088 f14_11180 f14_11825
44310,4/2/14 16:50,4/3/14 15:16,f14_6843 f14_11108 f14_12082 f14_9842 f14_7244 f14_11110 f14_11114 f14_11849 f14_11063
44017,4/1/14 16:27,4/3/14 16:45,f14_9897 f14_11268 f14_11910 f14_11922
44522,4/3/14 16:57,4/3/14 17:08,f14_11893 f14_11288 f14_11894 f14_12015 f14_2627
44531,4/3/14 18:07,4/3/14 18:08,f14_6847 f14_6848 f14_11118 f14_8313
44537,4/3/14 18:26,4/3/14 18:33,f14_11110 f14_1052 f14_1464 f14_11854 f14_11112 f14_1466
18550,8/29/13 17:35,4/3/14 19:24,f14_11939
44293,4/2/14 15:49,4/3/14 20:56,f14_11306 f14_9861 f14_8829 f14_11352 f14_8557
44579,4/3/14 21:33,4/3/14 21:42,f14_11099 f14_9963 f14_11891 f14_11475 f14_11293 f14_1517 f14_11297 f14_9978
1252,11/7/12 20:09,4/3/14 21:56,f14_11803 f14_12007 f14_7946 f14_10543 f14_8936
44640,4/4/14 4:46,4/4/14 5:33,f14_11240 f14_11888 f14_11984 f14_11985 f14_7839 f14_11040 f14_9842 f14_11306 f14_1033 f14_1035 f14_11859 f14_1080 f14_12000 f14_11182 f14_11183
39365,2/3/14 3:27,4/4/14 15:06,f14_7295 f14_7873 f14_9861 f14_12088
44609,4/4/14 1:30,4/4/14 17:08,f14_6849
44682,4/4/14 17:28,4/4/14 18:48,f14_11062
44613,4/4/14 1:48,4/4/14 18:53,f14_1156 f14_1678 f14_2391 f14_11290 f14_11471 f14_7874
44460,4/3/14 2:52,4/4/14 22:55,f14_11989 f14_11990 f14_11223 f14_10021 f14_2627 f14_7792
44667,4/4/14 16:06,4/5/14 0:10,f14_2461 f14_2385 f14_2392 f14_10109 f14_1287 f14_1511 f14_11948 f14_8122 f14_9062 f14_11961
44729,4/4/14 23:34,4/5/14 0:33,f14_7244 f14_3636 f14_6008 f14_1150 f14_1367 f14_2244 f14_1315 f14_1778 f14_11963 f14_11962
44733,4/5/14 0:16,4/5/14 0:45,f14_11039 f14_11060 f14_11906 f14_11720
28534,10/29/13 13:51,4/5/14 6:27,f14_6519 f14_11901 f14_11293 f14_11040 f14_7277 f14_7687 f14_7686 f14_1179
44764,4/5/14 15:44,4/5/14 17:14,f14_9897 f14_1355 f14_11948 f14_4660
