id,created_at,updated_at,courses
200583,4/7/17 17:30,4/7/17 17:34,f17_13548 f17_7393 f17_3681
200590,4/7/17 18:02,4/7/17 18:07,f17_13489 f17_4382 f17_13557
190010,1/28/17 23:49,4/7/17 18:09,f17_4685 f17_6011 f17_6009 f17_12033 f17_7458 f17_9002 f17_6552
200594,4/7/17 18:09,4/7/17 18:10,f17_1356 f17_13635 f17_13560 f17_12977
200591,4/7/17 18:04,4/7/17 18:23,f17_13445 f17_13647 f17_1464 f17_1466
200602,4/7/17 18:32,4/7/17 18:42,f17_12203 f17_12204 f17_13630 f17_4024
200612,4/7/17 19:09,4/7/17 19:09,f17_13501 f17_13496 f17_12985
200342,4/6/17 13:56,4/7/17 19:13, f17_1037 f17_12318 f17_5831 f17_6607 f17_13574 f17_13643 f17_13511 f17_13043
200618,4/7/17 19:24,4/7/17 19:40,f17_13518 f17_9842 f17_12288 f17_7244 f17_12792 f17_5218 f17_12439 f17_12586 f17_5234 f17_11275 f17_5948 f17_13575 f17_13531 f17_13673 f17_13454 f17_5953 f17_13456 f17_13193
199291,3/28/17 19:57,4/7/17 20:26,f17_13517 f17_13518 f17_13103 f17_12791 f17_7244 f17_13476 f17_8936 f17_12299 f17_8557 f17_13543 f17_13630 f17_13483
47504,4/22/14 3:05,4/8/17 2:30,f17_13332 f17_2310 f17_10109
168885,8/30/16 15:15,4/8/17 14:48,s17_7178 s17_7179 s17_17779 f17_5831 f17_8050 f17_12011 f17_11337
46796,4/17/14 21:59,4/8/17 16:17,f17_12913 f17_13565 f17_12091 f17_10049 f17_2434 f17_13439 f17_13091
200229,4/5/17 20:19,4/8/17 17:30,f17_13686 f17_2241 f17_13682 f17_13502
189285,1/23/17 22:18,4/8/17 22:40,f17_12913 f17_13492
76261,4/20/15 16:34,4/9/17 4:45,f17_2857
200475,4/7/17 0:33,4/9/17 15:15,f17_1370 f17_11110 f17_11112 f17_7550 f17_6525
171878,9/27/16 4:58,4/9/17 16:51,f17_6846 f17_6847 f17_6848 f17_6849 f17_11884 f17_12995 f17_13571 f17_13567 f17_3681 f17_11422 f17_11423
200722,4/8/17 19:00,4/9/17 17:19,f17_12912 f17_12913 f17_13471 f17_12502
200832,4/9/17 17:39,4/9/17 17:47,f17_3681 f17_13548 f17_7393 f17_11849
88723,8/27/15 16:10,4/9/17 18:30,f17_12393 f17_13686 f17_13502 f17_12995 f17_13428 f17_9981 f17_1025
199613,4/1/17 11:43,4/9/17 18:59,f17_11324 f17_13552 f17_12490 f17_7244
200135,4/5/17 10:29,4/9/17 21:14,f17_13507 f17_11205 f17_11423 f17_10225 f17_13552 f17_12950 f17_13556 f17_13447
199118,3/27/17 9:19,4/9/17 21:43,f17_11848 f17_13445 f17_7244 f17_13510
179813,10/31/16 1:51,4/10/17 0:36,f17_9963 f17_8975 f17_13622 f17_12399
200922,4/10/17 0:30,4/10/17 0:51,f17_12933 f17_1027 f17_11902 f17_13472 f17_13470 f17_13462
