id,created_at,updated_at,courses
17683,8/22/13 16:46,10/21/13 19:40,s14_17319 s14_9123
1248,11/7/12 19:18,10/21/13 19:47,s14_17287 s14_15963
28131,10/21/13 22:04,10/21/13 22:06,f13_1435 f13_11598 f13_1340 f13_11567
28155,10/22/13 19:22,10/22/13 19:28,s14_16984 s14_15852 s14_16167 s14_15853 s14_13891 s14_16985 s14_17600 s14_12400 s14_13166 s14_13513 s14_15260 s14_16866
28165,10/22/13 22:18,10/23/13 2:55,s14_17207 s14_17595 s14_15890 s14_7804 s14_13891
28218,10/24/13 3:31,10/24/13 3:37,s14_17107 s14_15089 s14_17185
27330,10/5/13 1:58,10/24/13 5:01,s14_17404 s14_7168 s14_7169 s14_15497 s14_15025 s14_14951 s14_15005 s14_17413 s14_17241
28231,10/24/13 15:43,10/24/13 16:24,s14_17207 s14_17595 s14_7804 s14_14485 s14_15930
20240,9/3/13 3:11,10/24/13 17:21,s14_17304 s14_16065 s14_17294 s14_14175
11024,4/13/13 0:07,10/24/13 18:01,f13_1468 f13_4804 f13_11573 f13_1344 s14_17097 s14_15480 s14_7355 s14_7358 s14_17399
28248,10/24/13 19:23,10/24/13 19:44,s14_11940 s14_15186 s14_14974 s14_13309 s14_11709 s14_15610 s14_16038 s14_12983 s14_7142 s14_17220 s14_17221 s14_17223 s14_17224 s14_17225 s14_17228 s14_14174 s14_14175 s14_15637 s14_14414 s14_15517 s14_7212 s14_17176
28240,10/24/13 18:01,10/24/13 21:16,s14_17261 s14_7075 s14_9220 s14_7248 s14_17613
28255,10/24/13 21:23,10/24/13 21:40,s14_17261 s14_17613 s14_7075 s14_9220 s14_7054 s14_15517 s14_7248
28261,10/25/13 0:36,10/25/13 0:38,s14_7002 s14_15950 s14_17102 s14_17105 s14_12973
28264,10/25/13 1:58,10/25/13 2:11,s14_7241 s14_17261 s14_7212 s14_17606 s14_17176 s14_14414 s14_17548 s14_17320 s14_16010 s14_16011 s14_15517 s14_14911 s14_14969 s14_17488
28271,10/25/13 6:50,10/25/13 7:09,s14_15186 s14_7158 s14_17239
28256,10/24/13 21:29,10/25/13 14:52,s14_11709 s14_17084 s14_17239 s14_15583 s14_17085 s14_7061 s14_9173
28280,10/25/13 14:59,10/25/13 17:58,s14_7378 s14_8893 s14_7931 s14_12610 s14_8784 s14_8789 s14_7249
28304,10/26/13 5:10,10/26/13 9:16,s14_7240 s14_7273 s14_17089 s14_17091 s14_17163
28308,10/26/13 9:20,10/26/13 9:23,s14_14969 s14_15493
16997,8/12/13 13:08,10/26/13 17:15, s14_17559 s14_8192 s14_8732 s14_15728
16730,8/7/13 17:18,10/26/13 20:23,s14_12970 s14_7355 s14_17534 s14_17027
28345,10/27/13 23:32,10/27/13 23:59,s14_17218 s14_17229 s14_17182 s14_16250 s14_17222 s14_17183
28355,10/28/13 0:11,10/28/13 0:12,s14_17224
28358,10/28/13 1:32,10/28/13 1:56,s14_17207 s14_7804 s14_15930
28359,10/28/13 1:35,10/28/13 1:59,s14_14974 s14_17404 s14_11709 s14_14425 s14_17288 s14_17326 s14_7142 s14_15918 s14_17290 s14_17183
28253,10/24/13 21:09,10/28/13 4:10,f13_11180
28375,10/28/13 13:30,10/28/13 13:45,s14_16984 s14_15852 s14_16167 s14_17529 s14_11709 s14_7142 s14_16229 s14_16231 s14_17610 s14_17611 s14_16889 s14_14782 s14_15923 s14_17295 s14_17296 s14_15652 s14_14465 s14_17297 s14_7002 s14_17532 s14_17530 s14_17404 s14_7854 s14_17165 s14_16142
17550,8/20/13 23:05,10/28/13 17:13,s14_15610 s14_17292 s14_17261 s14_17266
8198,4/11/13 0:53,10/28/13 21:49,s14_17170 s14_17411 s14_17175
28485,10/28/13 23:46,10/28/13 23:48,s14_14912 s14_14969 s14_7248
28432,10/28/13 21:14,10/29/13 0:00,s14_14237 s14_7044 s14_16126 s14_14229 s14_15671 s14_7881 s14_12609
28500,10/29/13 1:27,10/29/13 1:33,s14_16888 s14_15960
28509,10/29/13 2:01,10/29/13 2:37,s14_17530 s14_9001 s14_13902 s14_16113 s14_16105 s14_17602
28527,10/29/13 6:59,10/29/13 7:28,s14_7180 s14_16888 s14_16231 s14_17610 s14_7242 s14_17261 s14_15494 s14_17263 s14_15927 s14_14510 s14_17287
28543,10/29/13 14:58,10/29/13 15:08,s14_14951 s14_7203 s14_17500 s14_17537
28086,10/19/13 19:29,10/29/13 15:30,s14_16177 s14_17531 s14_7142 s14_17290 s14_15918 s14_17404
18828,8/29/13 21:03,10/29/13 16:59,s14_17083 s14_8370 s14_12969 s14_17404 s14_17085 s14_17084 s14_15204
28564,10/29/13 17:29,10/29/13 17:50,s14_8864 s14_8186 s14_7922 s14_16125 s14_16126 s14_7557 s14_7049 s14_17214
28351,10/28/13 0:05,10/29/13 18:02,s14_10761 s14_17317 s14_17313 s14_17314 s14_15005 s14_17484 s14_16250 s14_17615 s14_17514 s14_17517 s14_11781 s14_17400 s14_17606
28562,10/29/13 17:20,10/29/13 18:27,s14_17083 s14_16054 s14_15197 s14_16401 s14_16056 s14_16018
615,9/24/12 4:52,10/29/13 19:47,s14_17405 s14_17406 s14_17408 s14_8257 s14_12964
28525,10/29/13 5:20,10/29/13 20:22,s14_17141 s14_9450 s14_9123 s14_17268 s14_15963 s14_15417 s14_17613
28461,10/28/13 21:25,10/29/13 20:39,s14_9173 s14_17110 s14_7048 s14_7180 s14_17267
28619,10/29/13 22:32,10/29/13 22:38,s14_7351 s14_7352 s14_7483 s14_17619
11339,4/16/13 2:17,10/30/13 0:43,s14_17027 s14_15204 s14_17215
28639,10/30/13 0:48,10/30/13 0:50,s14_17027 s14_17215 s14_15204
28663,10/30/13 2:22,10/30/13 2:23,s14_9123 s14_7179 s14_11940
28666,10/30/13 2:29,10/30/13 2:40,s14_16989 s14_7143 s14_15863 s14_17537 s14_17487 s14_17534 s14_16984
28675,10/30/13 3:27,10/30/13 3:31,s14_17542 s14_17325 s14_17328 s14_17548 s14_9522
28679,10/30/13 3:46,10/30/13 4:16,s14_17404 s14_16177 s14_17531 s14_7142 s14_17290 s14_15918
12644,4/22/13 15:28,10/30/13 4:23,s14_14546 s14_14782 s14_16038 s14_17404
28716,10/30/13 14:08,10/30/13 14:12,s14_7147 s14_17135 s14_17232
16230,7/16/13 3:40,10/30/13 17:14,s14_15479 s14_17022 s14_17534 s14_17024 s14_14782 s14_15927 s14_15930 s14_14510 s14_17544 s14_17167
28753,10/30/13 17:14,10/30/13 17:15,s14_17207 s14_17023 s14_17027
28757,10/30/13 17:38,10/30/13 17:49,s14_16167 s14_16986 s14_17304 s14_14174 s14_14175 s14_17217
28769,10/30/13 18:24,10/30/13 19:15,s14_17246 s14_15863 s14_17331 s14_17229 s14_17292 s14_17185 s14_15770 s14_17137 s14_11709 s14_16167 s14_17215 s14_17165 s14_17515 s14_16142 s14_17517
28419,10/28/13 20:13,10/30/13 19:53, s14_16813 s14_17537 s14_17305 s14_17215 s14_15853
28784,10/30/13 19:59,10/30/13 20:21,s14_7229
28463,10/28/13 21:25,10/30/13 21:25,s14_17292 s14_15932 s14_15890 s14_12913
28802,10/30/13 21:21,10/30/13 21:26,s14_15963 s14_14782 s14_17267
28459,10/28/13 21:25,10/30/13 21:28,s14_17141 s14_7002 s14_17532 s14_7169 s14_15960
28462,10/28/13 21:25,10/30/13 21:28,s14_17141 s14_17110 s14_7050 s14_7169 s14_17267
28458,10/28/13 21:25,10/30/13 21:28,s14_9173 s14_17530 s14_17083 s14_14376 s14_17267
28464,10/28/13 21:25,10/30/13 21:33,s14_15406 s14_7017 s14_11940 s14_14376 s14_17267
28460,10/28/13 21:25,10/30/13 21:39,s14_12294 s14_7002 s14_11940 s14_16229 s14_17267
28803,10/30/13 21:29,10/30/13 21:47,s14_17315 s14_17319 s14_14763 s14_14974
28457,10/28/13 21:25,10/30/13 21:52,s14_16229 s14_15960 s14_15186 s14_16113 s14_16163
28810,10/30/13 22:01,10/30/13 22:05,s14_17262 s14_17263 s14_17264 s14_7157 s14_7158 s14_14227 s14_7918 s14_7919 s14_7920 s14_7921 s14_7922 s14_11964 s14_11965 s14_14228 s14_12602 s14_8182 s14_8183 s14_8184 s14_8185 s14_8186 s14_11967 s14_11968 s14_12604 s14_7676 s14_7678
28821,10/30/13 23:04,10/30/13 23:14,s14_12970 s14_12971 s14_7483 s14_15480 s14_17600 s14_17163 s14_14443 s14_7237 s14_13533
395,9/4/12 4:23,10/31/13 0:14,s14_16229 s14_8876 s14_16125 s14_12291 s14_17404
13479,4/26/13 19:00,10/31/13 0:57,s14_14443 s14_13166 s14_14470 s14_14912
28877,10/31/13 5:00,10/31/13 5:30,s14_16054 s14_14273 s14_15005 s14_13934 s14_15918 s14_17294
28896,10/31/13 15:17,10/31/13 15:24,s14_17232 s14_17511 s14_17512
28911,10/31/13 16:48,10/31/13 16:50,s14_13315 s14_9001
27587,10/10/13 2:25,10/31/13 17:00,s14_17606
28932,10/31/13 18:33,10/31/13 18:36,s14_17331 s14_17414 s14_17214 s14_17228
28948,10/31/13 19:28,10/31/13 19:30,s14_7285 s14_17245 s14_17260 s14_17325 s14_12913
28668,10/30/13 2:37,10/31/13 20:47,s14_7363 s14_16506 s14_7199 s14_7178 s14_17262 s14_7382 s14_17404 s14_14443
28916,10/31/13 16:58,10/31/13 23:11,s14_9001 s14_17530 s14_17582 s14_7762 s14_13902 s14_8474
28694,10/30/13 4:48,11/1/13 0:44,s14_7178 s14_9328 s14_15888 s14_16055
29015,11/1/13 1:40,11/1/13 1:54,s14_12912 s14_7230 s14_12291 s14_14751 s14_17596 s14_13934
29012,11/1/13 1:38,11/1/13 2:50,s14_16990 s14_17487 s14_7229 s14_17262
29014,11/1/13 1:40,11/1/13 3:04,s14_7053 s14_7193 s14_7229 s14_8185 s14_7542 s14_8787
29029,11/1/13 3:07,11/1/13 3:07,s14_7053
1154,11/5/12 22:59,11/1/13 3:09,s14_7240 s14_16888
29032,11/1/13 4:01,11/1/13 4:04,s14_17406 s14_7285 s14_17260 s14_17245 s14_17325 s14_12913 s14_17259
385,9/4/12 3:45,11/1/13 15:51,s14_17136 s14_17534 s14_7410 s14_14274
29077,11/1/13 16:00,11/1/13 16:25,s14_7363 s14_7178 s14_13700 s14_7199 s14_17262 s14_17263 s14_17264 s14_16506
29092,11/1/13 17:29,11/1/13 17:31,s14_15909
28813,10/30/13 22:07,11/1/13 17:47, s14_14951 s14_17232 s14_13945
29107,11/1/13 18:15,11/1/13 18:19,s14_9123 s14_15960 s14_7239 s14_7241 s14_17501
29129,11/1/13 19:31,11/1/13 19:35,s14_12964 s14_15089 s14_7251 s14_7241 s14_17500
29106,11/1/13 18:10,11/1/13 20:20,s14_10637 s14_15089 s14_12964 s14_16505 s14_15121 s14_17097 s14_15709 s14_14969 s14_15005 s14_14174 s14_14175
29148,11/1/13 20:44,11/1/13 21:17,s14_12964 s14_15089 s14_16054
29166,11/1/13 23:10,11/1/13 23:14,s14_12396 s14_15918
29167,11/1/13 23:19,11/2/13 0:06,s14_16140 s14_14706 s14_15479 s14_12396 s14_15918 s14_11093 s14_15106
28592,10/29/13 20:02,11/2/13 15:24,s14_14751 s14_15909 s14_16506 s14_7154
29249,11/2/13 18:26,11/2/13 18:54,s14_17219 s14_17223 s14_17537 s14_7949
1111,11/5/12 17:01,11/2/13 19:28,s14_7881 s14_15035 s14_17163 s14_8861 s14_8727 s14_12615 s14_17141 s14_9450 s14_15102 s14_14195
29263,11/2/13 19:45,11/2/13 19:59,s14_15927 s14_15517 s14_7226 s14_7804 s14_7099
29264,11/2/13 19:46,11/2/13 20:26,s14_17241 s14_7884 s14_7182 s14_16126 s14_8870 s14_12615
29288,11/2/13 21:57,11/2/13 22:04,s14_15770 s14_15492 s14_16986 s14_15853 s14_16038 s14_17290 s14_17291 s14_15930
29292,11/2/13 22:21,11/2/13 22:47,s14_17293 s14_15652 s14_14512 s14_17246 s14_17169 s14_17500 s14_15924 s14_16990
29379,11/3/13 17:12,11/3/13 17:13,s14_15943 s14_17542
29388,11/3/13 17:41,11/3/13 17:48,s14_17404 s14_16030 s14_17319 s14_17330 s14_17331 s14_7147
29397,11/3/13 18:12,11/3/13 18:13,s14_15963 s14_17287
29398,11/3/13 18:30,11/3/13 18:33,s14_13391 s14_17137 s14_15930 s14_17113
29432,11/3/13 20:31,11/3/13 20:34,s14_7470
29427,11/3/13 20:21,11/3/13 20:43,s14_17313 s14_15490 s14_17246 s14_16230 s14_14124 s14_16029
29438,11/3/13 20:42,11/3/13 20:45,s14_17184 s14_14907 s14_7239
29439,11/3/13 20:46,11/3/13 20:48,s14_7239 s14_14907 s14_17184
29441,11/3/13 20:57,11/3/13 21:02,s14_10637 s14_11709 s14_14911 s14_16055 s14_17330
29447,11/3/13 21:17,11/3/13 21:22,s14_14308 s14_16180
28934,10/31/13 18:34,11/3/13 21:53,s14_17102 s14_17103 s14_12970 s14_12971
892,10/31/12 14:36,11/4/13 0:28,s14_17278 s14_17332
29501,11/4/13 1:22,11/4/13 1:25,s14_14465 s14_13891 s14_15492 s14_17240
29502,11/4/13 1:24,11/4/13 2:06,s14_17617
29559,11/4/13 4:54,11/4/13 5:10,s14_17292 f13_11547 f13_1067 f13_8626 f13_1518 s14_17303 s14_16038 s14_17404 s14_17548 s14_15025
29597,11/4/13 14:32,11/4/13 14:32,s14_17278 s14_17332
27192,10/2/13 14:40,11/4/13 14:41,s14_17239 s14_11137 s14_15517 s14_17185
29605,11/4/13 15:24,11/4/13 15:34,s14_14308 s14_17165 s14_14425 s14_17305 s14_17167
